key,filename,timestamp,csv_time,peak_sample,start_sample,snr_db,peak_amp,crest_factor,template_corr
0,0.wav,1774758315.166924,1.0506,11916,7506,24.7,0.072205,24.05,1.000
0,1.wav,1774758315.960128,1.8438,46882,42472,26.1,0.087524,26.24,1.000
0,2.wav,1774758316.719586,2.6032,80544,76134,25.7,0.075775,23.50,1.000
0,3.wav,1774758317.550248,3.4339,117004,112594,26.4,0.092560,27.70,1.000
0,4.wav,1774758318.346586,4.2302,152252,147842,26.4,0.093292,28.17,1.000
0,5.wav,1774758319.128589,5.0122,186670,182260,26.4,0.089691,27.91,1.000
0,6.wav,1774758319.952611,5.8362,223141,218731,26.6,0.092957,29.28,1.000
0,7.wav,1774758320.739165,6.6228,257697,253287,26.8,0.101929,27.58,1.000
0,8.wav,1774758321.505325,7.3890,291591,287181,25.7,0.071075,21.84,1.000
0,9.wav,1774758322.330085,8.2137,327828,323418,28.1,0.118042,27.59,1.000
1,0.wav,1774758179.812129,2.1340,52226,47816,17.5,0.066864,19.56,1.000
1,1.wav,1774758180.544567,2.8665,84559,80149,19.3,0.070343,19.02,1.000
1,2.wav,1774758181.322374,3.6443,118698,114288,20.7,0.090668,19.94,1.000
1,3.wav,1774758182.08019,4.4021,152255,147845,18.6,0.074615,16.11,1.000
1,4.wav,1774758182.885098,5.2070,187551,183141,19.9,0.083557,22.11,1.000
1,5.wav,1774758183.680248,6.0021,222801,218391,18.0,0.073608,21.65,1.000
1,6.wav,1774758184.45287,6.7748,256835,252425,19.0,0.081024,27.50,1.000
1,7.wav,1774758185.180379,7.5023,288930,284520,17.9,0.078705,27.78,1.000
1,8.wav,1774758185.959671,8.2816,323289,318879,19.4,0.081940,18.08,1.000
2,0.wav,1774758193.26092,1.3883,28149,23739,11.2,0.029266,16.88,1.000
2,1.wav,1774758194.04691,2.1743,62654,58244,17.1,0.049072,18.09,1.000
2,2.wav,1774758194.835447,2.9628,97521,93111,16.6,0.044403,14.27,1.000
2,3.wav,1774758195.60874,3.7361,131587,127177,18.0,0.054016,14.18,1.000
2,4.wav,1774758196.419916,4.5473,167344,162934,17.3,0.051056,15.57,1.000
2,5.wav,1774758197.199968,5.3274,201666,197256,19.1,0.060516,18.09,1.000
2,6.wav,1774758197.996297,6.1237,236839,232429,18.6,0.057037,14.57,1.000
2,7.wav,1774758198.802901,6.9303,272305,267895,4.1,0.005737,9.88,1.000
2,8.wav,1774758199.519316,7.6467,304023,299613,19.9,0.069275,16.77,1.000
2,9.wav,1774758200.277422,8.4048,337465,333055,18.3,0.056396,16.38,1.000
3,0.wav,1774758208.541565,1.1581,18418,14008,23.2,0.087189,20.28,1.000
3,1.wav,1774758209.35494,1.9714,54390,49980,23.3,0.083588,22.52,1.000
3,2.wav,1774758210.12594,2.7424,88429,84019,22.1,0.075348,22.39,1.000
3,3.wav,1774758210.905998,3.5225,122731,118321,23.0,0.088013,28.70,1.000
3,4.wav,1774758211.679656,4.2961,156949,152539,21.8,0.074341,27.25,1.000
3,5.wav,1774758212.462773,5.0793,191444,187034,23.3,0.084442,28.18,1.000
3,6.wav,1774758213.237016,5.8535,225543,221133,25.3,0.104767,27.96,1.000
3,7.wav,1774758213.988579,6.6051,258920,254510,20.1,0.056488,20.06,1.000
3,8.wav,1774758214.754757,7.3712,292500,288090,23.5,0.083984,23.33,1.000
3,9.wav,1774758215.49581,8.1123,325209,320799,23.5,0.093506,27.35,1.000
4,0.wav,1774758223.112017,0.8296,12163,7753,22.9,0.038422,20.38,1.000
4,1.wav,1774758223.949286,1.6669,42432,38022,25.6,0.095825,32.58,1.000
4,2.wav,1774758224.743599,2.4612,77520,73110,25.8,0.098755,31.15,1.000
4,3.wav,1774758225.534356,3.2520,112393,107983,25.6,0.099060,34.11,1.000
4,4.wav,1774758226.323572,4.0412,147233,142823,25.1,0.091003,30.94,1.000
4,5.wav,1774758227.131328,4.8489,182799,178389,27.3,0.113007,33.74,1.000
4,6.wav,1774758227.936522,5.6541,218336,213926,28.0,0.119995,34.65,1.000
4,7.wav,1774758228.7259,6.4435,253036,248626,26.9,0.115387,36.52,1.000
4,8.wav,1774758229.477369,7.1950,286329,281919,25.0,0.086121,29.20,1.000
4,9.wav,1774758230.262404,7.9800,320935,316525,25.7,0.093475,29.26,1.000
5,0.wav,1774758238.715568,1.0332,11338,6928,21.7,0.040009,25.24,1.000
5,1.wav,1774758239.484974,1.8026,39074,34664,27.0,0.098969,31.15,1.000
5,2.wav,1774758240.260564,2.5782,73174,68764,29.3,0.126312,34.43,1.000
5,3.wav,1774758241.075111,3.3928,109240,104830,27.3,0.098480,29.70,1.000
5,4.wav,1774758241.857388,4.1751,143688,139278,29.1,0.120575,33.10,1.000
5,5.wav,1774758242.620425,4.9381,177340,172930,27.8,0.108154,30.66,1.000
5,6.wav,1774758243.419441,5.7371,212559,208149,28.3,0.111359,31.31,1.000
5,7.wav,1774758244.206609,6.5243,247221,242811,27.8,0.110016,32.66,1.000
5,8.wav,1774758245.006134,7.3238,282512,278102,26.9,0.093903,29.98,1.000
5,9.wav,1774758245.743699,8.0614,315115,310705,27.3,0.100739,31.18,1.000
6,0.wav,1774758253.595617,0.9231,6992,2582,13.6,0.030121,30.24,1.000
6,1.wav,1774758254.363504,1.6910,40857,36447,27.2,0.139679,32.34,1.000
6,2.wav,1774758255.131653,2.4591,74806,70396,27.7,0.146423,32.96,1.000
6,3.wav,1774758255.913833,3.2413,109132,104722,28.2,0.161072,32.97,1.000
6,4.wav,1774758256.719866,4.0473,144812,140402,26.5,0.128418,29.03,1.000
6,5.wav,1774758257.497608,4.8251,179114,174704,27.4,0.136444,29.48,1.000
6,6.wav,1774758258.249231,5.5767,212218,207808,27.5,0.143616,31.16,1.000
6,7.wav,1774758259.052381,6.3799,247687,243277,27.5,0.140015,31.37,1.000
6,8.wav,1774758259.827649,7.1551,281790,277380,28.7,0.164551,32.33,1.000
6,9.wav,1774758260.625291,7.9528,316979,312569,28.2,0.154388,31.86,1.000
7,0.wav,1774758268.637762,0.7768,8740,4330,10.4,0.018921,9.82,1.000
7,1.wav,1774758269.383449,1.5225,34583,30173,25.5,0.135468,27.95,1.000
7,2.wav,1774758270.151617,2.2906,68555,64145,24.9,0.138947,30.06,1.000
7,3.wav,1774758270.915541,3.0546,102270,97860,24.7,0.128021,27.16,1.000
7,4.wav,1774758271.704979,3.8440,137144,132734,25.1,0.132690,29.46,1.000
7,5.wav,1774758272.444823,4.5838,169705,165295,24.4,0.121277,26.91,1.000
7,6.wav,1774758273.190379,5.3294,202751,198341,25.0,0.132263,28.32,1.000
7,7.wav,1774758273.939637,6.0786,235684,231274,25.0,0.132355,22.11,1.000
7,8.wav,1774758274.717747,6.8568,269951,265541,25.4,0.148193,31.38,1.000
7,9.wav,1774758275.497676,7.6367,304306,299896,25.3,0.143921,29.24,1.000
8,0.wav,1774758285.167162,1.4662,23801,19391,23.3,0.104950,30.13,1.000
8,1.wav,1774758285.939348,2.2384,57836,53426,25.2,0.136169,32.00,1.000
8,2.wav,1774758286.749093,3.0481,93643,89233,22.0,0.090485,25.17,1.000
8,3.wav,1774758287.552751,3.8518,129001,124591,23.9,0.115723,26.36,1.000
8,4.wav,1774758288.358523,4.6575,164425,160015,24.9,0.138336,34.15,1.000
8,5.wav,1774758289.130732,5.4298,198654,194244,23.0,0.098083,27.88,1.000
8,6.wav,1774758289.920521,6.2195,233445,229035,23.2,0.109314,30.87,1.000
8,7.wav,1774758290.77353,7.0725,270970,266560,24.4,0.123199,31.99,1.000
8,8.wav,1774758291.534707,7.8337,304491,300081,24.3,0.117462,28.94,1.000
8,9.wav,1774758292.424902,8.7239,343838,339428,24.0,0.113861,28.25,1.000
9,0.wav,1774758300.748283,1.6945,27324,22914,24.7,0.079315,23.36,1.000
9,1.wav,1774758301.591569,2.5377,64489,60079,25.7,0.095062,27.95,1.000
9,2.wav,1774758302.42044,3.3666,101114,96704,25.7,0.096405,31.55,1.000
9,3.wav,1774758303.253695,4.1999,137891,133481,24.5,0.083435,26.65,1.000
9,4.wav,1774758304.083225,5.0294,174454,170044,26.2,0.101654,29.84,1.000
9,5.wav,1774758304.840664,5.7868,207755,203345,26.9,0.111969,31.54,1.000
9,6.wav,1774758305.679518,6.6257,244964,240554,24.5,0.080017,30.96,1.000
9,7.wav,1774758306.483337,7.4295,280315,275905,24.6,0.087830,28.48,1.000
9,8.wav,1774758307.315681,8.2618,316955,312545,26.0,0.103302,29.79,1.000
a,0.wav,1774758487.106027,1.6423,20925,16515,17.3,0.049194,14.20,1.000
a,1.wav,1774758487.976544,2.5128,59299,54889,18.7,0.061340,17.97,1.000
a,2.wav,1774758488.769997,3.3063,94330,89920,19.2,0.064972,18.43,1.000
a,3.wav,1774758489.528069,4.0644,127829,123419,19.2,0.068451,19.61,1.000
a,4.wav,1774758490.272783,4.8091,160605,156195,18.8,0.075165,22.89,1.000
a,5.wav,1774758491.044366,5.5807,194714,190304,18.3,0.054871,19.24,1.000
a,6.wav,1774758491.818882,6.3552,228747,224337,17.3,0.051086,14.44,1.000
a,7.wav,1774758492.592477,7.1288,262920,258510,17.3,0.046692,20.15,1.000
a,8.wav,1774758493.495998,8.0323,302672,298262,17.9,0.055145,18.84,1.000
b,0.wav,1774758672.900875,1.1486,17248,12838,19.3,0.057220,4.95,1.000
b,1.wav,1774758673.681228,1.9289,51336,46926,22.4,0.074921,5.20,1.000
b,2.wav,1774758674.466623,2.7143,86114,81704,21.0,0.069122,7.20,1.000
b,3.wav,1774758675.272152,3.5199,121454,117044,19.1,0.056824,13.47,1.000
b,4.wav,1774758676.059643,4.3074,156561,152151,15.7,0.041504,13.44,1.000
b,5.wav,1774758676.854056,5.1018,191584,187174,18.7,0.053406,11.66,1.000
b,6.wav,1774758677.669577,5.9173,227437,223027,18.0,0.050537,17.33,1.000
b,7.wav,1774758678.460832,6.7086,262242,257832,18.5,0.060913,15.05,1.000
b,8.wav,1774758679.265167,7.5129,297837,293427,18.4,0.056671,16.56,1.000
b,9.wav,1774758680.095572,8.3433,334138,329728,20.2,0.069153,19.84,1.000
c,0.wav,1774758643.764428,1.1884,16399,11989,23.7,0.081390,25.13,1.000
c,1.wav,1774758644.513922,1.9379,49579,45169,22.7,0.070007,21.68,1.000
c,2.wav,1774758645.283582,2.7075,83396,78986,22.1,0.071228,22.12,1.000
