key,filename,timestamp,csv_time,peak_sample,start_sample,snr_db,peak_amp,crest_factor,template_corr
a,0.wav,1773991714.147177,1.3939,24910,20500,32.7,0.052368,25.72,1.000
a,1.wav,1773991714.926576,2.1733,59387,54977,32.5,0.045258,20.85,1.000
a,2.wav,1773991715.73722,2.9840,95292,90882,30.0,0.033813,19.51,1.000
a,3.wav,1773991716.607215,3.8540,133415,129005,32.4,0.047577,24.17,1.000
a,4.wav,1773991717.407335,4.6541,168840,164430,33.8,0.051453,21.64,1.000
a,5.wav,1773991718.267348,5.5141,206795,202385,32.0,0.042175,20.79,1.000
a,6.wav,1773991719.097167,6.3439,243430,239020,31.4,0.040527,18.87,1.000
a,7.wav,1773991719.943714,7.1905,280651,276241,32.8,0.045959,20.84,1.000
a,8.wav,1773991720.762482,8.0092,316840,312430,33.3,0.052155,22.46,1.000
a,9.wav,1773991721.55639,8.8031,351834,347424,31.9,0.046448,22.31,1.000
a,10.wav,1773991722.43629,9.6830,390784,386374,30.6,0.036133,19.42,1.000
a,11.wav,1773991723.263109,10.5098,427168,422758,31.8,0.042603,21.26,1.000
a,12.wav,1773991724.105895,11.3526,464197,459787,33.8,0.053680,22.03,1.000
a,13.wav,1773991724.998931,12.2457,503649,499239,32.3,0.046417,21.57,1.000
a,14.wav,1773991725.923867,13.1706,544415,540005,33.1,0.049255,21.78,1.000
a,15.wav,1773991726.830444,14.0772,584387,579977,31.5,0.038147,18.71,1.000
a,16.wav,1773991727.727228,14.9740,623941,619531,31.7,0.044739,23.59,1.000
a,17.wav,1773991728.612159,15.8589,663033,658623,31.8,0.041473,20.98,1.000
a,18.wav,1773991729.477434,16.7242,701163,696753,33.1,0.046387,21.81,1.000
a,19.wav,1773991730.349128,17.5959,739632,735222,32.0,0.043762,22.16,1.000
a,20.wav,1773991731.234142,18.4809,778614,774204,32.3,0.042328,18.49,0.786
a,21.wav,1773991732.088361,19.3351,816202,811792,31.8,0.041321,20.93,0.813
a,22.wav,1773991732.928022,20.1748,853316,848906,32.0,0.042389,21.32,0.816
a,23.wav,1773991733.750753,20.9975,889590,885180,30.3,0.036163,20.71,0.797
a,24.wav,1773991734.624309,21.8710,928056,923646,33.6,0.051697,23.11,0.882
a,25.wav,1773991735.453917,22.7007,964571,960161,32.8,0.049530,23.70,0.838
a,26.wav,1773991736.329034,23.5758,1003206,998796,31.6,0.041382,19.14,0.755
a,27.wav,1773991737.190913,24.4377,1041410,1037000,32.6,0.047546,23.72,0.836
a,28.wav,1773991738.006143,25.2529,1077247,1072837,32.5,0.047363,21.70,0.755
a,29.wav,1773991738.825664,26.0724,1113300,1108890,31.9,0.042328,20.30,0.805
a,30.wav,1773991739.629541,26.8763,1148767,1144357,32.1,0.040131,17.71,0.715
a,31.wav,1773991740.522479,27.7692,1188199,1183789,33.0,0.050201,23.23,0.878
a,32.wav,1773991741.341546,28.5883,1224319,1219909,31.9,0.042023,21.77,0.860
a,33.wav,1773991742.196357,29.4431,1262022,1257612,32.6,0.044861,21.51,0.864
a,34.wav,1773991742.998089,30.2448,1297240,1292830,32.0,0.045319,21.40,0.804
a,35.wav,1773991743.843985,31.0907,1334684,1330274,32.4,0.047455,21.08,0.685
a,36.wav,1773991744.730873,31.9776,1373728,1369318,31.1,0.036041,19.21,0.836
a,37.wav,1773991745.57796,32.8247,1411269,1406859,30.4,0.037598,21.77,0.797
a,38.wav,1773991746.428847,33.6756,1448778,1444368,31.2,0.037659,17.87,0.751
a,39.wav,1773991747.316958,34.5637,1487833,1483423,30.3,0.035797,24.53,0.602
a,40.wav,1773991748.175959,35.4227,1525632,1521222,32.5,0.045319,22.72,0.886
a,41.wav,1773991749.022955,36.2697,1563091,1558681,33.1,0.049927,22.39,0.887
a,42.wav,1773991749.920344,37.1671,1602624,1598214,33.5,0.053711,24.12,0.824
a,43.wav,1773991750.802044,38.0488,1641608,1637198,31.5,0.038513,19.72,0.831
a,44.wav,1773991751.711015,38.9578,1681518,1677108,32.2,0.045532,22.49,0.817
a,45.wav,1773991752.584475,39.8312,1720223,1715813,32.1,0.044250,22.07,0.806
a,46.wav,1773991753.471193,40.7179,1759208,1754798,31.4,0.041382,22.84,0.804
a,47.wav,1773991754.30814,41.5549,1796197,1791787,31.7,0.044525,23.03,0.861
a,48.wav,1773991755.150568,42.3973,1833297,1828887,31.7,0.043823,22.62,0.847
a,49.wav,1773991756.141578,43.3883,1876900,1872490,33.2,0.057587,21.69,0.690
b,0.wav,1773991769.070382,1.4889,21048,16638,32.9,0.049042,26.33,1.000
b,1.wav,1773991769.839278,2.2578,55003,50593,33.9,0.050079,22.23,1.000
b,2.wav,1773991770.614191,3.0327,89172,84762,33.1,0.051239,21.74,1.000
b,3.wav,1773991771.408284,3.8268,124138,119728,34.3,0.054108,20.66,1.000
b,4.wav,1773991772.205248,4.6237,159318,154908,33.3,0.048431,24.29,1.000
b,5.wav,1773991773.01712,5.4356,195049,190639,34.8,0.057648,24.26,1.000
b,6.wav,1773991773.828142,6.2466,230883,226473,35.5,0.062775,27.41,1.000
b,7.wav,1773991774.668292,7.0868,267845,263435,33.2,0.049713,25.24,1.000
b,8.wav,1773991775.46695,7.8854,303164,298754,32.9,0.048615,25.16,1.000
b,9.wav,1773991776.291839,8.7103,339525,335115,34.7,0.055725,23.22,1.000
b,10.wav,1773991777.141967,9.5605,377058,372648,34.9,0.057892,27.13,1.000
b,11.wav,1773991777.982841,10.4013,414034,409624,34.1,0.054352,24.49,1.000
b,12.wav,1773991778.778567,11.1971,449247,444837,33.6,0.050507,23.22,1.000
b,13.wav,1773991779.579957,11.9985,484530,480120,33.5,0.053986,25.68,1.000
b,14.wav,1773991780.35284,12.7713,518736,514326,33.7,0.050262,18.91,1.000
b,15.wav,1773991781.160527,13.5790,554372,549962,33.1,0.054047,24.43,1.000
b,16.wav,1773991782.009594,14.4281,591661,587251,32.4,0.046875,22.12,1.000
b,17.wav,1773991782.868668,15.2872,629617,625207,33.4,0.051422,22.38,1.000
b,18.wav,1773991783.719063,16.1376,667214,662804,32.5,0.043884,18.63,1.000
