key,filename,timestamp,csv_time,peak_sample,start_sample,snr_db,peak_amp,crest_factor,template_corr
0,0.wav,1773845546.685801,1.3032,15172,10762,31.7,0.010468,20.36,1.000
0,1.wav,1773845547.473813,2.0912,49473,45063,40.3,0.026245,21.80,1.000
0,2.wav,1773845548.278145,2.8956,85189,80779,37.6,0.018646,20.92,1.000
0,3.wav,1773845549.105386,3.7228,121631,117221,38.2,0.022034,19.47,1.000
0,4.wav,1773845549.898235,4.5157,156713,152303,36.9,0.018921,18.76,1.000
0,5.wav,1773845550.69694,5.3144,191967,187557,37.1,0.019836,19.07,1.000
0,6.wav,1773845551.49129,6.1087,226933,222523,36.7,0.020477,19.12,1.000
0,7.wav,1773845552.302096,6.9195,262735,258325,37.1,0.021179,18.55,1.000
0,8.wav,1773845553.120051,7.7375,298876,294466,36.5,0.019043,18.18,1.000
0,9.wav,1773845553.917735,8.5352,333786,329376,37.7,0.021820,19.93,1.000
0,10.wav,1773845554.702111,9.3195,368477,364067,38.6,0.023254,20.09,1.000
0,11.wav,1773845555.528618,10.1460,404941,400531,36.1,0.019165,19.36,1.000
0,12.wav,1773845556.38216,10.9996,442583,438173,36.7,0.018311,20.35,1.000
0,13.wav,1773845557.129774,11.7472,475712,471302,35.5,0.017120,22.34,1.000
0,14.wav,1773845558.047391,12.6648,516057,511647,38.0,0.022156,19.54,1.000
0,15.wav,1773845558.772259,13.3897,547940,543530,38.2,0.021027,19.90,1.000
0,16.wav,1773845559.547308,14.1647,582154,577744,38.0,0.021088,20.65,1.000
0,17.wav,1773845560.368695,14.9861,618361,613951,35.2,0.018311,18.97,1.000
0,18.wav,1773845561.247938,15.8654,657195,652785,38.0,0.024048,20.30,1.000
0,19.wav,1773845562.093683,16.7111,694573,690163,36.2,0.018494,21.29,1.000
0,20.wav,1773845562.933435,17.5508,731500,727090,37.8,0.021637,17.97,0.879
0,21.wav,1773845563.763983,18.3814,768189,763779,38.0,0.021729,18.48,0.944
0,22.wav,1773845564.57204,19.1895,803829,799419,37.0,0.018951,20.93,0.859
0,23.wav,1773845565.422133,20.0395,841446,837036,35.4,0.017242,17.81,0.847
0,24.wav,1773845566.25635,20.8738,878065,873655,35.4,0.016449,21.04,0.838
0,25.wav,1773845567.038324,21.6557,912630,908220,35.1,0.017212,19.32,0.916
0,26.wav,1773845567.745722,22.3631,943908,939498,33.8,0.014252,23.44,0.806
0,27.wav,1773845568.550266,23.1677,979752,975342,35.1,0.016663,18.62,0.906
0,28.wav,1773845569.33804,23.9555,1014421,1010011,34.5,0.015747,19.57,0.891
0,29.wav,1773845570.072258,24.6897,1046884,1042474,34.7,0.014954,18.93,0.855
0,30.wav,1773845570.890418,25.5078,1082836,1078426,36.5,0.017517,21.12,0.804
0,31.wav,1773845571.715337,26.3328,1119123,1114713,36.5,0.017456,21.06,0.915
0,32.wav,1773845572.533554,27.1510,1155152,1150742,36.1,0.017151,21.59,0.912
0,33.wav,1773845573.340095,27.9575,1190899,1186489,35.0,0.014679,18.95,0.814
0,34.wav,1773845574.112306,28.7297,1224859,1220449,35.8,0.016144,20.88,0.878
0,35.wav,1773845574.941271,29.5587,1261409,1256999,36.9,0.018036,23.11,0.874
0,36.wav,1773845575.746273,30.3637,1296958,1292548,35.7,0.015533,21.32,0.808
0,37.wav,1773845576.553557,31.1710,1332454,1328044,35.8,0.016205,21.57,0.888
0,38.wav,1773845577.325563,31.9430,1366735,1362325,33.8,0.012451,19.85,0.916
0,39.wav,1773845578.098239,32.7157,1400912,1396502,32.4,0.011475,18.08,0.853
0,40.wav,1773845578.90679,33.5242,1436726,1432316,33.8,0.014252,17.84,0.653
0,41.wav,1773845579.71873,34.3361,1472539,1468129,32.2,0.011902,17.68,0.582
0,42.wav,1773845580.513546,35.1310,1507502,1503092,35.0,0.014648,19.36,0.715
0,43.wav,1773845581.335405,35.9528,1543422,1539012,36.5,0.018555,18.44,0.896
0,44.wav,1773845582.06648,36.6839,1575327,1570917,36.9,0.050659,24.70,0.784
0,45.wav,1773845582.908519,37.5259,1612357,1607947,37.5,0.056213,29.94,0.671
0,46.wav,1773845583.700988,38.3184,1648086,1643676,34.1,0.013031,17.25,0.906
0,47.wav,1773845584.492197,39.1096,1683031,1678621,34.5,0.013702,17.36,0.640
0,48.wav,1773845585.303525,39.9209,1718568,1714158,32.3,0.011688,17.85,0.805
0,49.wav,1773845586.0995,40.7169,1753111,1748701,37.0,0.050568,26.26,0.760
0,50.wav,1773845586.947695,41.5651,1790571,1786161,36.5,0.050873,26.46,0.783
0,51.wav,1773845587.76549,42.3829,1827093,1822683,32.8,0.013580,19.22,0.898
0,52.wav,1773845588.570729,43.1881,1862463,1858053,35.2,0.016479,18.29,0.849
0,53.wav,1773845589.383508,44.0009,1898700,1894290,33.8,0.013245,17.79,0.677
0,54.wav,1773845590.15359,44.7710,1932468,1928058,35.5,0.015900,18.67,0.712
0,55.wav,1773845591.018797,45.6362,1970768,1966358,35.7,0.016327,18.78,0.714
0,56.wav,1773845591.816703,46.4341,2006029,2001619,34.5,0.014435,19.04,0.712
0,57.wav,1773845592.643447,47.2609,2042422,2038012,34.4,0.014618,18.35,0.703
0,58.wav,1773845593.433522,48.0509,2077120,2072710,34.6,0.014557,19.41,0.920
0,59.wav,1773845594.190955,48.8084,2110455,2106045,35.1,0.016052,19.91,0.896
0,60.wav,1773845595.078479,49.6959,2149738,2145328,33.7,0.013184,19.89,0.712
0,61.wav,1773845595.79112,50.4085,2180821,2176411,34.6,0.014801,22.12,0.919
0,62.wav,1773845596.597064,51.2145,2216393,2211983,36.4,0.017792,21.51,0.918
0,63.wav,1773845597.380786,51.9982,2250825,2246415,37.4,0.019592,14.64,0.874
0,64.wav,1773845598.143458,52.7609,2284768,2280358,34.4,0.014252,19.54,0.889
0,65.wav,1773845598.900523,53.5179,2318224,2313814,35.6,0.016541,20.19,0.686
0,66.wav,1773845599.677606,54.2950,2352367,2347957,37.4,0.019775,20.58,0.694
0,67.wav,1773845600.497215,55.1146,2388421,2384011,36.4,0.018433,20.93,0.898
0,68.wav,1773845601.275164,55.8926,2422658,2418248,36.6,0.019592,19.72,0.868
0,69.wav,1773845602.031986,56.6494,2456331,2451921,31.9,0.010651,19.94,0.868
0,70.wav,1773845602.837834,57.4552,2491645,2487235,34.8,0.014893,20.44,0.815
0,71.wav,1773845603.628749,58.2462,2526521,2522111,35.8,0.016357,21.19,0.934
0,72.wav,1773845604.355247,58.9727,2558691,2554281,35.8,0.016510,19.94,0.707
0,73.wav,1773845605.090901,59.7083,2591314,2586904,33.7,0.012909,19.00,0.646
0,74.wav,1773845605.885388,60.5028,2626292,2621882,32.4,0.012512,20.23,0.868
0,75.wav,1773845606.719538,61.3370,2663057,2658647,34.4,0.014343,19.93,0.698
0,76.wav,1773845607.450859,62.0683,2695147,2690737,33.5,0.012451,20.08,0.833
0,77.wav,1773845608.205889,62.8233,2728590,2724180,34.4,0.015045,20.54,0.698
0,78.wav,1773845608.985454,63.6029,2762800,2758390,32.9,0.013611,20.49,0.850
0,79.wav,1773845609.775419,64.3928,2797637,2793227,34.2,0.014313,19.02,0.908
0,80.wav,1773845610.538261,65.1557,2831303,2826893,33.8,0.014618,20.06,0.944
0,81.wav,1773845611.309213,65.9266,2865377,2860967,35.1,0.015686,24.77,0.784
0,82.wav,1773845612.137376,66.7548,2902258,2897848,34.1,0.013611,18.53,0.688
0,83.wav,1773845612.901662,67.5191,2935584,2931174,34.1,0.032532,18.98,0.761
0,84.wav,1773845613.727527,68.3449,2972108,2967698,34.0,0.015350,21.49,0.538
0,85.wav,1773845614.526476,69.1439,3007289,3002879,36.7,0.017883,19.00,0.707
0,86.wav,1773845615.325375,69.9428,3042363,3037953,35.2,0.015106,18.47,0.900
0,87.wav,1773845616.072157,70.6896,3075410,3071000,35.0,0.015350,18.87,0.875
0,88.wav,1773845616.860194,71.4776,3110060,3105650,35.5,0.016571,17.74,0.818
0,89.wav,1773845617.617459,72.2349,3143359,3138949,33.9,0.013458,22.64,0.796
0,90.wav,1773845618.455399,73.0728,3180629,3176219,33.6,0.013519,21.10,0.753
0,91.wav,1773845619.363534,73.9809,3220501,3216091,34.5,0.014618,18.50,0.888
0,92.wav,1773845620.196125,74.8135,3257216,3252806,35.9,0.016876,17.49,0.865
0,93.wav,1773845621.073436,75.6909,3295942,3291532,34.2,0.014160,19.14,0.900
0,94.wav,1773845621.850426,76.4678,3330342,3325932,34.0,0.013702,17.31,0.791
0,95.wav,1773845622.76625,77.3837,3370512,3366102,36.2,0.018524,18.79,0.910
0,96.wav,1773845623.547516,78.1649,3405175,3400765,34.3,0.013763,17.73,0.869
0,97.wav,1773845624.330392,78.9478,3439592,3435182,34.7,0.014557,19.00,0.900
0,98.wav,1773845625.111857,79.7293,3474022,3469612,36.2,0.018127,19.38,0.907
0,99.wav,1773845625.96377,80.5812,3511632,3507222,34.6,0.014740,16.13,0.842
1,0.wav,1773844481.014189,0.7805,5878,1468,19.3,0.005341,20.93,1.000
1,1.wav,1773844481.87314,1.6395,24123,19713,31.4,0.011597,21.32,1.000
1,2.wav,1773844482.648553,2.4149,58349,53939,32.6,0.013611,23.50,1.000
1,3.wav,1773844483.424043,3.1904,92635,88225,32.5,0.013672,21.90,1.000
1,4.wav,1773844484.287764,4.0541,130558,126148,33.7,0.015839,23.41,1.000
1,5.wav,1773844485.104834,4.8712,166459,162049,35.1,0.016846,22.30,1.000
1,6.wav,1773844485.857093,5.6234,199483,195073,34.8,0.017792,23.01,1.000
